intent,example,tags
Welcome,Hello,greeting
Welcome,Hi,greeting
Welcome,Hey,greeting
Welcome,Good morning,greeting
Welcome,Good afternoon,greeting
Welcome,Good evening,greeting
Goodbye,Goodbye,closing
Goodbye,Bye,closing
Goodbye,See you later,closing
Goodbye,Talk to you soon,closing
Goodbye,I have to go,closing
Thanks,Thanks,gratitude
Thanks,Thank you,gratitude
Thanks,Thanks a lot,gratitude
Thanks,Much appreciated,gratitude
Thanks,Thank you very much,gratitude
Connect_LED,How do I connect an LED to an Arduino?,component_connection
Connect_LED,LED connection with Arduino,component_connection
Connect_LED,Hook up an LED to Arduino,component_connection
Connect_LED,Can you help me connect an LED to an Arduino?,component_connection
Connect_LED,Instructions to connect an LED to Arduino,component_connection
Connect_Resistor,How do I connect a resistor to an Arduino?,component_connection
Connect_Resistor,Resistor connection with Arduino,component_connection
Connect_Resistor,Hook up a resistor to Arduino,component_connection
Connect_Resistor,Can you help me connect a resistor to an Arduino?,component_connection
Connect_Resistor,Instructions to connect a resistor to Arduino,component_connection
Connect_Servo,How do I connect a servo motor to an Arduino?,component_connection
Connect_Servo,Servo motor connection with Arduino,component_connection
Connect_Servo,Hook up a servo motor to Arduino,component_connection
Connect_Servo,Can you help me connect a servo motor to an Arduino?,component_connection
Connect_Servo,Instructions to connect a servo motor to Arduino,component_connection
Connect_Sensor,How do I connect a sensor to an Arduino?,component_connection
Connect_Sensor,Sensor connection with Arduino,component_connection
Connect_Sensor,Hook up a sensor to Arduino,component_connection
Connect_Sensor,Can you help me connect a sensor to an Arduino?,component_connection
Connect_Sensor,Instructions to connect a sensor to Arduino,component_connection
Connect_LCD,How do I connect an LCD to an Arduino?,component_connection
Connect_LCD,LCD connection with Arduino,component_connection
Connect_LCD,Hook up an LCD to Arduino,component_connection
Connect_LCD,Can you help me connect an LCD to an Arduino?,component_connection
Connect_LCD,Instructions to connect an LCD to Arduino,component_connection
Connect_Buzzer,How do I connect a buzzer to an Arduino?,component_connection
Connect_Buzzer,Buzzer connection with Arduino,component_connection
Connect_Buzzer,Hook up a buzzer to Arduino,component_connection
Connect_Buzzer,Can you help me connect a buzzer to an Arduino?,component_connection
Connect_Buzzer,Instructions to connect a buzzer to Arduino,component_connection
Arduino_Setup,How do I set up an Arduino?,setup
Arduino_Setup,Arduino setup instructions,setup
Arduino_Setup,Can you help me set up my Arduino?,setup
Arduino_Setup,Steps to set up an Arduino,setup
Arduino_Setup,Setting up an Arduino for the first time,setup
Upload_Sketch,How do I upload a sketch to Arduino?,upload
Upload_Sketch,Uploading code to Arduino,upload
Upload_Sketch,Can you help me upload a program to Arduino?,upload
Upload_Sketch,Instructions to upload a sketch to Arduino,upload
Upload_Sketch,How to transfer code to Arduino,upload
Troubleshoot_Connection,My Arduino isn't connecting,troubleshooting
Troubleshoot_Connection,Troubleshoot Arduino connection,troubleshooting
Troubleshoot_Connection,Can you help me with Arduino connection issues?,troubleshooting
Troubleshoot_Connection,Arduino not detected,troubleshooting
Troubleshoot_Connection,Issues connecting Arduino to computer,troubleshooting
Power_Arduino,How do I power my Arduino?,power
Power_Arduino,Power options for Arduino,power
Power_Arduino,Can you help me with powering Arduino?,power
Power_Arduino,Instructions to power Arduino,power
Power_Arduino,How to supply power to Arduino,power
Arduino_Libraries,How do I install Arduino libraries?,libraries
Arduino_Libraries,Installing libraries for Arduino,libraries
Arduino_Libraries,Can you help me with Arduino libraries?,libraries
Arduino_Libraries,Instructions to add libraries to Arduino,libraries
Arduino_Libraries,How to use libraries in Arduino,libraries
Arduino_Pins,What are the different pins on Arduino?,pins
Arduino_Pins,Arduino pin configuration,pins
Arduino_Pins,Can you explain the pins on Arduino?,pins
Arduino_Pins,Pin layout of Arduino,pins
Arduino_Pins,How to use pins on Arduino,pins
Project_Ideas,What projects can I do with Arduino?,projects
Project_Ideas,Arduino project ideas,projects
Project_Ideas,Can you suggest some Arduino projects?,projects
Project_Ideas,Fun projects with Arduino,projects
Project_Ideas,Ideas for Arduino projects,projects
